Basin_ID;Contour_ID;Height_min;Height_max;Population_echt;Population;area (m2);DEV_1_Value_original;DEV_2_Value_original;DEV_3_Value_original;DEV_5_Value_original;DEV_7_Value_original;DEV_1_Value;DEV_2_Value;DEV_3_Value;DEV_5_Value;DEV_7_Value;;;;;;;;
0;0;0;0;0;0;9999999;0;0;0;0;0;0;0;0;0;0;;;;;;;;
1;5;1.75;2;0.734808859;1.256645978;34420.7;13346.7;0;0;0;0;1046.159476;0;0;0;0;;;;;;;;
1;6;2;2.25;0.551106644;0.942484483;32083.1;8067.7;16530.5;0;0;0;632.3736058;1295.716486;0;0;0;;;;;;sum;312147.8492;
1;7;2.25;2.5;0.367404429;0.628322989;17210.4;2705;0;0;0;0;212.0270466;0;0;0;0;;;;;;cencus;533825;1.710167158
1;8;2.5;2.75;0.734808859;1.256645978;34420.7;9455.2;14894.2;0;0;0;741.1305474;1167.457759;0;0;0;;;;;;;;
1;9;2.75;3;1.518025637;2.596077589;77446.7;17501.5;37829.3;0;0;0;1371.826749;2965.188448;0;0;0;;;;;;;;
1;10;3;3.25;5.404138433;9.241980064;261977.1;83548.7;67089.8;0;0;0;6548.829614;5258.725379;0;0;0;;;;;;;;
1;11;3.25;3.5;13.81227821;23.62130456;576547.3;156683.6;450848.8;0;0;0;12281.39037;35339.05343;0;0;0;;;;;;chota pop;87.6;
1;12;3.5;3.75;25.750607;44.03784238;1077314.1;275946.2;619820.3;0;0;0;21629.59623;48583.61095;0;0;0;;;;;;factor;2;
1;13;3.75;4;26.09970369;44.63485609;1052650.8;256193.8;676849.7;0;0;0;20081.33633;53053.76816;0;0;0;;;;;;;;
1;14;4;4.25;36.95074579;63.1919519;1568293.5;383515.8;1214857.3;0;0;0;30061.26521;95224.62304;0;0;0;;;;;;;;
1;15;4.25;4.5;30.61370991;52.35456126;1231395.3;172118.5;2697843.6;0;0;0;13491.23002;211466.1037;0;0;0;;;;;;;;
1;16;4.5;4.75;31.22968968;53.40798965;1345227.4;231158;5554012.4;0;0;0;18118.94567;435342.272;0;0;0;;;;;;tot valeu;2,993,762,318.40;
1;17;4.75;5;53.31399054;91.17583568;1952224.5;167730.6;6430575.9;0;0;0;13147.29159;504050.2831;0;0;0;;;;;;;234661213.5;
1;18;5;5.25;106.7039614;182.4816103;1754596.6;36331;1903735.3;0;0;0;2847.746628;149221.21;0;0;0;;;;;;;0.078383381;
1;19;5.25;5.5;92.34455535;157.9246258;1557500.7;40208;3507483.6;0;0;0;3151.638998;274928.4246;0;0;0;;;;;;;;
1;20;5.5;5.75;125.9901109;215.4641498;940771.3;33760.5;4530421.8;0;0;0;2646.262146;355109.7797;0;0;0;;;;;;;;
1;21;5.75;6;348.1097434;595.3258505;655858.7;31535.2;3261795.4;0;0;0;2471.835608;255670.5528;0;0;0;;;;;;;;
1;22;6;6.25;348.6628217;596.2717067;618100.4;9666.6;3570874;0;0;0;757.7007942;279897.1785;0;0;0;;;;;;;;
1;23;6.25;6.5;499.7907433;854.7257149;525307.5;25268.8;2925571.4;0;0;0;1980.653987;229316.1787;0;0;0;;;;;;;;
1;24;6.5;6.75;30.30528724;51.82710695;467452.6;11493.5;2851122.2;0;0;0;900.8993936;223480.5987;0;0;0;;;;;;;;
1;25;6.75;7;578.9290226;990.0654011;415985.1;18134.9;3414202.4;0;0;0;1421.474783;267616.7288;0;0;0;;;;;;;;
1;26;7;7.25;730.5246872;1249.319328;266541.2;2441.2;2651916.3;0;0;0;191.3495106;207866.1667;0;0;0;;;;;;;;
1;27;7.25;7.5;488.9554864;836.1956145;302672.9;12999.1;1890715;0;0;0;1018.913413;148200.6349;0;0;0;;;;;;;;
1;28;7.5;7.75;655.8495302;1121.612327;355334.8;37.4;3300515.4;0;0;0;2.931538463;258705.5573;0;0;0;;;;;;;;
1;29;7.75;8;259.6231132;443.9989216;289947.7;0;2594569.1;0;0;0;0;203371.0992;0;0;0;;;;;;;;
1;30;8;8.25;573.2209089;980.3035725;321714.1;15598.5;2724458.6;0;0;0;1222.663174;213552.2774;0;0;0;;;;;;;;
1;31;8.25;8.5;727.8800967;1244.796636;347269.2;9078.6;3638206;0;0;0;711.611366;285174.8884;0;0;0;;;;;;;;
1;32;8.5;8.75;645.9308128;1104.649662;237141.1;5860.1;1689129;0;0;0;459.3344531;132399.6426;0;0;0;;;;;;;;
1;33;8.75;9;1370.099884;2343.099825;346878.5;1466;3608903.5;0;0;0;114.9100371;282878.0593;0;0;0;;;;;;;;
1;34;9;9.25;2005.193469;3429.216015;431170.3;5559;6188992.4;0;0;0;435.733217;485114.1515;0;0;0;;;;;;;;
1;35;9.25;9.5;1526.154728;2609.979694;313917;0;4761770.3;0;0;0;0;373243.6574;0;0;0;;;;;;;;
1;36;9.5;9.75;1689.263016;2888.92213;394110;3332.8;4685661;0;0;0;261.2361334;367277.9531;0;0;0;;;;;;;;
1;37;9.75;10;1693.763119;2896.618059;438570.5;5416.4;5702066.5;0;0;0;424.5557468;446947.253;0;0;0;;;;;;;;
1;38;10;10.25;1608.967052;2751.60261;351049.3;0;5145365.1;0;0;0;0;403311.1149;0;0;0;;;;;;;;
1;39;10.25;10.5;1604.815862;2744.503382;287659.1;14.8;4594584.8;0;0;0;1.160074044;360139.0926;0;0;0;;;;;;;;
1;40;10.5;10.75;2251.077099;3849.718124;444954.8;0;7998624.1;0;0;0;0;626959.2032;0;0;0;;;;;;;;
